cluster_size,total,failed,failure_rate_pct
1,85,84,98.82352941176471
2,151,146,96.68874172185431
3,214,160,74.76635514018692
4,308,163,52.922077922077925
5,391,153,39.130434782608695
6,470,127,27.02127659574468
7,498,88,17.670682730923694
8,501,81,16.16766467065868
9,546,71,13.003663003663005
10,536,52,9.701492537313433
11,524,36,6.870229007633588
12,471,40,8.492569002123142
13,462,32,6.926406926406926
14,397,19,4.785894206549118
15,373,22,5.898123324396782
16,4027,170,4.221504842314379
