run,failures,rate_pct
1,3114,2.8315268785916925
2,3142,2.8569869789772313
3,3116,2.83334545719066
4,3101,2.819706117698407
5,3181,2.892449261657089
6,3131,2.8469847966829125
7,3109,2.826980432094275
8,3154,2.8678984505710337
9,3163,2.8760820542663854
10,3154,2.8678984505710337
