percentile,threshold,total,dnn_failed,dnn_rate_pct,final_failed,final_rate_pct,improvement,trust_dnn,sent_to_cpl,erasures,cpl_fixed,cpl_broke,cpl_net,target_pct,target_achieved,dataset,clustersize_threshold
0,,109976,3139,2.8542591110787807,3139,2.8542591110787807,0,109976,0,0,0,0,0,1.65,False,BinnedNanoporeTwoFlowcells,2
5,0.9197812676429749,109976,3139,2.8542591110787807,1788,1.6258092674765405,1351,104477,5456,43,1590,236,1354,1.65,True,BinnedNanoporeTwoFlowcells,2
10,0.9203146696090698,109976,3139,2.8542591110787807,1809,1.6449043427656944,1330,98980,10953,43,1686,353,1333,1.65,True,BinnedNanoporeTwoFlowcells,2
15,0.9204306155443192,109976,3139,2.8542591110787807,1818,1.653087946461046,1321,93479,16454,43,1717,393,1324,1.65,False,BinnedNanoporeTwoFlowcells,2
20,0.9205018281936646,109976,3139,2.8542591110787807,1825,1.6594529715574309,1314,87987,21946,43,1736,419,1317,1.65,False,BinnedNanoporeTwoFlowcells,2
25,0.9205546379089355,109976,3139,2.8542591110787807,1837,1.670364443151233,1302,82491,27442,43,1748,443,1305,1.65,False,BinnedNanoporeTwoFlowcells,2
