epoch,train_loss,val_loss,learning_rate
1,0.639716685852226,0.547508125503858,0.0005
2,0.528328612122406,0.5142837251226108,5e-05
3,0.5231889978608713,0.5112646865348022,0.0001
4,0.5189263100982929,0.5052946577469508,0.00015000000000000001
5,0.5140503563544377,0.5002050538857777,0.0002
6,0.5105270606421289,0.5002935732404391,0.00025
7,0.5083125986361585,0.49942128906647365,0.00030000000000000003
8,0.5064042580472369,0.4941826502482096,0.00035
9,0.5052249341949719,0.49573829844594003,0.0004
10,0.5042767074389928,0.49648779730002085,0.00045000000000000004
11,0.5029783458987467,0.4921540995438894,0.0005
12,0.5006081922321903,0.49104490006963414,0.0005
13,0.4986426826439747,0.49006317406892774,0.0004998477219840985
14,0.4969102824170168,0.48719510386387505,0.0004993910734636996
15,0.4960075808676327,0.4872934088110924,0.0004986306107946842
16,0.49482414655032614,0.4907795185844103,0.0004975672604836741
17,0.4941972413638822,0.4863134101033211,0.0004962023180592267
18,0.49353493922928565,0.48492943147818246,0.0004945374464934331
19,0.4929476432400901,0.48546381294727325,0.0004925746741758422
20,0.4925539329039807,0.4855948386092981,0.0004903163924421813
21,0.49225161320903676,0.4840478551884492,0.000487765352660881
22,0.491778688614263,0.4821733926733335,0.0004849246628809574
23,0.49137559659322916,0.4846399133404096,0.00048179778404533263
24,0.4908964290049206,0.4824451059103012,0.00047838852577420906
25,0.4908786507082634,0.48280070498585703,0.0004747010417236342
26,0.4904555851302179,0.4837513784567515,0.00047073982452491023
27,0.4899842376713039,0.48216221034526824,0.00046650970031101506
28,0.48987791085628424,0.4841257264216741,0.0004620158228367025
29,0.48963640476165177,0.4816197914381822,0.0004572636671994465
30,0.48933740913563845,0.48212734460830686,0.00045225902316887746
31,0.48914425137902606,0.48231413463751477,0.0004470079881328402
32,0.48885862440580413,0.48310306866963704,0.00044151695966866645
33,0.48875758480153925,0.4829284906387329,0.0004357926277487116
34,0.48823686904039515,0.4810757371286551,0.00042984196658965427
35,0.48816580298502427,0.4812581760187944,0.0004236722261554878
36,0.48776228826264945,0.48190063958366713,0.00041729092332455555
37,0.4875684658990425,0.4806553473075231,0.0004107058327313926
38,0.48738785840216137,0.48044408634305,0.0004039249772945314
39,0.4870529174247161,0.4812797665596008,0.00039695661844181096
40,0.48682221415497007,0.4804310349126657,0.0003898092460450999
41,0.48672968225211516,0.47912470375498134,0.0003824915680766954
42,0.48629827832891825,0.48209067235390346,0.0003750125
43,0.4859922715241001,0.48004271313548086,0.000367381153907403
44,0.48590680988264734,0.47926292245586716,0.00035960682741859956
45,0.4854111883763959,0.4798978584508101,0.00035169899235287317
46,0.4854260359998463,0.47841279034813244,0.00034366728318914263
47,0.48483489851663714,0.4811591905852159,0.00033552148532783405
48,0.48462290112562734,0.47782093783219654,0.00032727152316887743
49,0.4844939241958719,0.4785239651799202,0.0003189274480203543
50,0.4839932446830532,0.4779933047791322,0.00031049942585252685
51,0.4836940801670762,0.4786541735132535,0.00030199772491216933
52,0.48351559756564444,0.47815089921156567,0.0002934327032122909
53,0.48307748821114194,0.47673930674791337,0.0002848147959124923
54,0.48287788761310835,0.477043171475331,0.0002761545026053317
55,0.482454199718983,0.4777432096501191,0.00026746237452418765
56,0.48223547166606195,0.47644927178819974,0.0002587490016882077
57,0.4819569558766829,0.477181676030159,0.00025002499999999997
58,0.4815669960564091,0.47685493106643356,0.00024130099831179237
59,0.4811895917315467,0.4760845698416233,0.00023258762547581226
60,0.4810226353455563,0.4770338368912538,0.00022389549739466836
61,0.48061418826279995,0.47771666819850606,0.0002152352040875077
62,0.4801612473821559,0.47556520576278366,0.0002066172967877091
63,0.479991940479903,0.47510490342974665,0.00019805227508783065
64,0.4795041822555925,0.47487599899371463,0.00018955057414747308
65,0.4792455383456078,0.47598891307910285,0.00018112255197964564
66,0.4789127461460172,0.4757743773361047,0.00017277847683112252
67,0.4786820323491583,0.4745627000927925,0.00016452851467216596
68,0.47830566370568306,0.47492403934399285,0.00015638271681085738
69,0.4778633928775382,0.4749646174410979,0.00014835100764712687
70,0.4776365716897306,0.4737481082479159,0.00014044317258140034
71,0.47723124906623443,0.47427914465467136,0.000132668846092597
72,0.476960581176135,0.4732580348849297,0.00012503750000000005
73,0.4767004250719839,0.472912922501564,0.00011755843192330463
74,0.476298175356826,0.473534477998813,0.0001102407539549001
75,0.4758600619070384,0.47250551680723823,0.00010309338155818905
76,0.47553525988747475,0.47231310481826466,9.612502270546856e-05
