Dataset,Compact_label_len,Compact_input_len,DNAformer_label_len,DNAformer_input_len,DNAformer_params,DNAformer_params_M,DNAformer_FLOPs,DNAformer_FLOPs_G,DNAformer_time_ms_mean,DNAformer_time_ms_std,Compact_params,Compact_params_M,Compact_FLOPs,Compact_FLOPs_G,Compact_time_ms_mean,Compact_time_ms_std,Param_Reduction_%,FLOP_Reduction_%,Speedup_x
Erlich,152,170,152,162,103467602,103.467602,66177008256,66.177008256,11.159589258829753,0.2777408560017082,3480949,3.480949,1314100840,1.31410084,7.50400530497233,0.3964232927712186,96.63571114753388,98.01426375318069,1.4871510353857489
Grass,117,136,117,128,103407903,103.407903,50384206384,50.384206384,10.810840543111166,0.43396832843189836,3419578,3.419578,1018175472,1.018175472,5.943639469146729,0.13867701137878582,96.69311735293577,97.97917731552613,1.818892380540567
Organick,110,123,110,115,103392352,103.392352,47213677600,47.2136776,10.586280568440754,0.128247822107005,3397533,3.397533,945769596,0.945769596,5.709179719289144,0.11357143144823975,96.71394166562726,97.99683133346934,1.8542559682739965
Srinivasavaradhan,110,128,110,120,103396622,103.396622,47255784480,47.25578448,10.661990547180176,0.2223917936020311,3405643,3.405643,956661856,0.956661856,5.8369418780008955,0.23803786398705276,96.7062337877924,97.97556666019398,1.8266398346991628
BinnedTestIllumina,128,152,128,132,103418588,103.418588,55248697344,55.248697344,10.486071459452312,0.11069579932187036,3447325,3.447325,1122596704,1.122596704,6.363348277409871,0.09882634401744056,96.66662921369608,97.9681028549682,1.64788583027559
BinnedNanoporeTwoFlowcells,128,152,128,132,103418588,103.418588,55248697344,55.248697344,10.677562618255616,0.2171330837713034,3447325,3.447325,1122596704,1.122596704,6.336854426066081,0.09410740654872614,96.66662921369608,97.9681028549682,1.6849941469910406
