cluster_size,total,failed,failure_rate_pct
1,17,17,100.0
2,26,23,88.46153846153845
3,52,25,48.07692307692308
4,120,42,35.0
5,226,53,23.451327433628318
6,364,60,16.483516483516482
7,647,71,10.973724884080372
8,908,64,7.048458149779736
9,1342,96,7.153502235469449
10,1862,94,5.048335123523094
11,2370,87,3.670886075949367
12,2993,122,4.076177748078851
13,3591,103,2.8682818156502368
14,4311,115,2.667594525632104
15,4793,125,2.6079699561861047
16,86354,2023,2.342682446672997
