distance,avg_cosine_sim
0,0.0
1,0.4728876110887903
2,0.351385073283362
3,0.3390637924194336
4,0.33401651813137917
5,0.3403074658401613
6,0.3405239574244765
7,0.3371132552722269
8,0.3405128091176351
9,0.34086772566082096
10,0.33787264532962086
11,0.34310888323009525
12,0.3401309950598355
13,0.3351718046768852
14,0.33927353206433747
15,0.3405413659694975
16,0.34190880502973287
17,0.3386805682139354
18,0.33694548884305087
19,0.338595654548855
20,0.34665350454824945
21,0.3492670656364655
22,0.34270014079111927
23,0.33910233270554313
24,0.34124562428547783
25,0.3415649915898888
26,0.337465352638095
27,0.3392954646950901
28,0.33494106884002683
29,0.33225881403142754
30,0.3329961918811409
31,0.33485186272060746
32,0.33379814902941385
33,0.33861530183490957
34,0.33592336695244973
35,0.34244722756006385
36,0.34033009238865064
37,0.33474516040676244
38,0.3322708894941542
39,0.3315812072325289
40,0.33572233590212736
41,0.34135834091011136
42,0.33398476112720576
43,0.3327574301326976
44,0.33500947566259476
45,0.33773160084184395
46,0.3343496766904505
47,0.33415756602346164
48,0.3376625244617462
49,0.3350513016423093
50,0.3344647126320081
51,0.3327787936817516
52,0.335196475982666
53,0.33121493860880535
54,0.3354228098328049
55,0.33263281417219603
56,0.33373337586720786
57,0.3306104880319515
58,0.33035416657584055
59,0.33448797958484594
60,0.3342449140548706
61,0.3321968092847226
62,0.3295676698106708
63,0.3225253596672645
64,0.3261075446009636
65,0.32582540103367397
66,0.32664584159851073
67,0.3223501124147509
68,0.32375074752171834
69,0.32697901855080813
70,0.33039364107723895
71,0.3316394421092251
72,0.32522962280682155
73,0.32606892533735793
74,0.3239517021179199
75,0.32982055826007195
76,0.31788742578946627
77,0.32081957648782167
78,0.32291030921936037
79,0.31931931320501833
80,0.32430203100045524
81,0.3369295822305882
82,0.3244124090153238
83,0.31759446038140193
84,0.3212592165036635
85,0.31818685986274897
86,0.31459882077716644
87,0.3164956998825073
88,0.319513556599617
89,0.32008394485864883
90,0.32084589995835955
91,0.3153541930946144
92,0.3064685567220052
93,0.3136016401563372
94,0.31560675817377426
95,0.3104147924076427
96,0.30016520924866197
97,0.30708201623732045
98,0.3120751684506734
99,0.31116602881201383
100,0.31086348686899457
101,0.3124943706724379
102,0.2959742291157062
103,0.295517091178894
104,0.30674628069003423
105,0.31059123205102007
106,0.2942341556332328
107,0.2953779703094846
108,0.31056254982948306
109,0.2988173902662177
110,0.29964258935716415
111,0.29409564039286445
112,0.30524165082722904
113,0.2987966598669688
114,0.28247960946389605
115,0.27496673246988884
116,0.2986792660007874
117,0.28524692078882996
118,0.2878059373497963
119,0.26858077390326396
120,0.29052224742248656
121,0.2666719317436218
122,0.2674757387737433
123,0.24524474596977233
124,0.25380170391872525
125,0.2544539135321975
126,0.250562417851761
127,0.18614774880930782
