percentile,threshold,total,dnn_failed,dnn_rate_pct,final_failed,final_rate_pct,improvement,trust_dnn,sent_to_cpl,erasures,cpl_fixed,cpl_broke,cpl_net,target_pct,target_achieved,dataset,clustersize_threshold
0,,4982,36,0.7226013649136892,36,0.7226013649136892,0,4982,0,0,0,0,0,0.66,False,Grass,0
5,0.9202482730150223,4982,36,0.7226013649136892,26,0.5218787635487756,10,4732,250,0,14,4,10,0.66,True,Grass,0
10,0.9203307151794433,4982,36,0.7226013649136892,26,0.5218787635487756,10,4483,499,0,14,4,10,0.66,True,Grass,0
15,0.9203840076923371,4982,36,0.7226013649136892,26,0.5218787635487756,10,4234,748,0,14,4,10,0.66,True,Grass,0
20,0.9204247713088989,4982,36,0.7226013649136892,26,0.5218787635487756,10,3985,997,0,14,4,10,0.66,True,Grass,0
25,0.9204570800065994,4982,36,0.7226013649136892,26,0.5218787635487756,10,3736,1246,0,14,4,10,0.66,True,Grass,0
