percentile,threshold,total,dnn_failed,dnn_rate_pct,final_failed,final_rate_pct,improvement,trust_dnn,sent_to_cpl,erasures,cpl_fixed,cpl_broke,cpl_net,target_pct,target_achieved,dataset,clustersize_threshold
0,,109944,6,0.005457323728443571,6,0.005457323728443571,0,109944,0,0,0,0,0,0.0055,True,BinnedTestIllumina,0
5,0.9204006195068359,109944,6,0.005457323728443571,9,0.008185985592665358,-3,104468,5476,0,0,3,-3,0.0055,False,BinnedTestIllumina,0
10,0.9204121232032776,109944,6,0.005457323728443571,9,0.008185985592665358,-3,98967,10977,0,0,3,-3,0.0055,False,BinnedTestIllumina,0
15,0.9204204678535461,109944,6,0.005457323728443571,9,0.008185985592665358,-3,93477,16467,0,0,3,-3,0.0055,False,BinnedTestIllumina,0
20,0.9204275608062744,109944,6,0.005457323728443571,9,0.008185985592665358,-3,87964,21980,0,0,3,-3,0.0055,False,BinnedTestIllumina,0
25,0.9204340577125549,109944,6,0.005457323728443571,9,0.008185985592665358,-3,82471,27473,0,0,3,-3,0.0055,False,BinnedTestIllumina,0
