percentile,threshold,total,dnn_failed,dnn_rate_pct,final_failed,final_rate_pct,improvement,trust_dnn,sent_to_cpl,erasures,cpl_fixed,cpl_broke,cpl_net,target_pct,target_achieved,dataset,clustersize_threshold
0,,72000,15,0.020833333333333336,15,0.020833333333333336,0,72000,0,0,0,0,0,0.02,False,Erlich,0
5,0.9194191098213196,72000,15,0.020833333333333336,16,0.022222222222222223,-1,68402,3598,0,1,2,-1,0.02,False,Erlich,0
10,0.9194566607475281,72000,15,0.020833333333333336,16,0.022222222222222223,-1,64807,7193,0,1,2,-1,0.02,False,Erlich,0
15,0.9194788932800293,72000,15,0.020833333333333336,16,0.022222222222222223,-1,61214,10786,0,1,2,-1,0.02,False,Erlich,0
20,0.9194952249526978,72000,15,0.020833333333333336,18,0.025,-3,57607,14393,0,1,4,-3,0.02,False,Erlich,0
25,0.9195084571838379,72000,15,0.020833333333333336,17,0.02361111111111111,-2,54023,17977,0,2,4,-2,0.02,False,Erlich,0
