position,errors,total,error_rate,avg_entropy
0,0,72000,0.0,0.4191285411024259
1,0,72000,0.0,0.42618748656370575
2,0,72000,0.0,0.4300903240438137
3,0,72000,0.0,0.4297432127325899
4,0,72000,0.0,0.4305795650527709
5,0,72000,0.0,0.43095183186729746
6,0,72000,0.0,0.43035715340905717
7,0,72000,0.0,0.4314691588013536
8,0,72000,0.0,0.4315068848377301
9,0,72000,0.0,0.4319290008996096
10,0,72000,0.0,0.43196461352705956
11,0,72000,0.0,0.43169572982481785
12,0,72000,0.0,0.4318029989413917
13,0,72000,0.0,0.4311063464759953
14,0,72000,0.0,0.4308355860912965
15,0,72000,0.0,0.43098792095482347
16,0,72000,0.0,0.43034952637015117
17,0,72000,0.0,0.4301715452633798
18,0,72000,0.0,0.43149339074434506
19,0,72000,0.0,0.4312160193775263
20,0,72000,0.0,0.4307212034496996
21,0,72000,0.0,0.43091716412868764
22,0,72000,0.0,0.43087083901547724
23,0,72000,0.0,0.43123861064927443
24,0,72000,0.0,0.43079351569256846
25,0,72000,0.0,0.43118900428546797
26,0,72000,0.0,0.4316766518846982
27,0,72000,0.0,0.43137948881006905
28,0,72000,0.0,0.4320805557328794
29,0,72000,0.0,0.4318200963723163
30,0,72000,0.0,0.43222267731527486
31,0,72000,0.0,0.43241502528803216
32,0,72000,0.0,0.43207599159371524
33,0,72000,0.0,0.43208195128995514
34,0,72000,0.0,0.4319861623686221
35,0,72000,0.0,0.43212164882777465
36,0,72000,0.0,0.4319165923645099
37,0,72000,0.0,0.4322081667834686
38,0,72000,0.0,0.4320122190419998
39,0,72000,0.0,0.4319307759068906
40,0,72000,0.0,0.4314339077700343
41,0,72000,0.0,0.4321150549414257
42,0,72000,0.0,0.43170612654255497
43,0,72000,0.0,0.4317539394121203
44,0,72000,0.0,0.43148751279132236
45,0,72000,0.0,0.4318523038249049
46,0,72000,0.0,0.43179622249636385
47,0,72000,0.0,0.4316383436193897
48,0,72000,0.0,0.4317373864621752
49,0,72000,0.0,0.431765017223027
50,0,72000,0.0,0.4322364960859219
51,0,72000,0.0,0.43234724097119437
52,0,72000,0.0,0.43196792845221027
53,0,72000,0.0,0.43198153611686496
54,0,72000,0.0,0.43188549563661216
55,0,72000,0.0,0.4322817093965908
56,0,72000,0.0,0.43254395864696965
57,0,72000,0.0,0.43204705148852535
58,0,72000,0.0,0.43202964876757727
59,0,72000,0.0,0.4320464638074239
60,0,72000,0.0,0.4318379006344411
61,0,72000,0.0,0.4318952965984742
62,0,72000,0.0,0.43198909990199735
63,0,72000,0.0,0.43186712163272833
64,0,72000,0.0,0.4319244685752524
65,0,72000,0.0,0.43181436877449353
66,0,72000,0.0,0.43212574831065204
67,0,72000,0.0,0.43164668147224516
68,0,72000,0.0,0.431780422170543
69,0,72000,0.0,0.4319388101481729
70,0,72000,0.0,0.43200664957654145
71,0,72000,0.0,0.4322465209066868
72,0,72000,0.0,0.4319667605708043
73,0,72000,0.0,0.43176656646612616
74,0,72000,0.0,0.4318923387196329
75,0,72000,0.0,0.4322402531492213
76,0,72000,0.0,0.4318713257304496
77,0,72000,0.0,0.4313916411966913
