distance,avg_cosine_sim
0,0.0
1,0.9235367542176735
2,0.9248467878311399
3,0.92655642578125
4,0.9266549682617188
5,0.9264906515726229
6,0.9275392569870246
7,0.9270909364558448
8,0.9275067030588786
9,0.9273788926581374
10,0.927300376245531
11,0.9268243095202324
12,0.927713135686414
13,0.9272248667841372
14,0.9274086460314299
15,0.9267170533036764
16,0.9271901321411132
17,0.9269906492491026
18,0.9271968286687677
19,0.9268570772223517
20,0.9267323048909505
21,0.927306477199091
22,0.9262858711098725
23,0.9273176037016369
24,0.9267127403846154
25,0.926912209223775
26,0.9268326314290365
27,0.9271974197236618
28,0.9271415763854981
29,0.9270931675458195
30,0.926352741475008
31,0.9277536789412351
32,0.9268753266334534
33,0.9274870878520765
34,0.9270101522892079
35,0.9267132683210475
36,0.9269369241465693
37,0.9270067529363947
38,0.9271664276123047
39,0.9266157660323582
40,0.9273866731470282
41,0.9270808621110588
42,0.9275478744506835
43,0.926662197337431
44,0.9266395060221354
45,0.9259080569715386
46,0.9262047642033274
47,0.9263664358633535
48,0.9260937776565552
49,0.9263385627843157
50,0.9272934615306365
51,0.9263401130577187
52,0.9265232598154168
53,0.9270210662841797
54,0.9264616579622835
55,0.9267827250859508
56,0.9274752023484972
57,0.9264449912057796
58,0.9263606660025461
59,0.9267035796676857
60,0.9262990575678208
61,0.9267986576592744
62,0.9263203019806833
63,0.9258832250741812
64,0.925862278342247
65,0.9262560677906824
66,0.9266076346366636
67,0.9257577233236344
68,0.9265798625946045
69,0.9267967961198192
70,0.9262172185963597
71,0.9244998496875428
72,0.9256902749197824
73,0.9254628829956054
74,0.9256494649251302
75,0.9267376982490971
76,0.9253595873025747
77,0.9257977212644091
78,0.9265991188049316
79,0.9259189325449418
80,0.9265550478299459
81,0.9260528256030793
82,0.9251684130793032
83,0.9245244454277887
84,0.9248785937916149
85,0.9259216894105423
86,0.9250619879223052
87,0.9249028294260909
88,0.925145154953003
89,0.9263037040906075
90,0.9253672469289679
91,0.9252560362944732
92,0.924499380323622
93,0.9247910679408482
94,0.9242182888704188
95,0.9256712532043457
96,0.9240247237682343
97,0.9253909400201613
98,0.9238602523803711
99,0.9242456843935211
100,0.9242631251471384
101,0.9244988667523419
102,0.9228737258911133
103,0.9240307975769043
104,0.9228722103436788
105,0.9233811560921047
106,0.9232820441506125
107,0.9217380114964077
108,0.9229112586975098
109,0.9218956284773977
110,0.9223143736521403
111,0.9223626484590418
112,0.9205577731132507
113,0.9200715599060059
114,0.9201549679892403
115,0.9189492188967191
116,0.9174238268534343
117,0.9171480742367831
118,0.9169082632064819
119,0.9140151558982001
120,0.9153021281957626
121,0.9125343765531267
122,0.9055153465270996
123,0.9018148345947266
124,0.9029307502508164
125,0.8831675601005554
126,0.8669452679157257
127,0.815152924656868
