cluster_size,total,failed,failure_rate_pct
1,20,4,20.0
2,12,0,0.0
3,16,0,0.0
4,19,0,0.0
5,33,0,0.0
6,54,0,0.0
7,87,0,0.0
8,132,0,0.0
9,226,0,0.0
10,346,0,0.0
11,509,0,0.0
12,713,0,0.0
13,927,0,0.0
14,1223,0,0.0
15,1504,0,0.0
16,104123,3,0.002881207802310729
