distance,avg_cosine_sim
0,0.0
1,0.49731884463080045
2,0.4314894024392833
3,0.4429822389703048
4,0.43843231572514085
5,0.4365349909237453
6,0.4404743362976624
7,0.43818986025723544
8,0.4448773291351598
9,0.4420997033295808
10,0.4427646565660138
11,0.4426816073003805
12,0.4397767119634719
13,0.44274871129256027
14,0.4393199287340479
15,0.4399643568899117
16,0.43767982445140874
17,0.4366602691650391
18,0.43519545699610857
19,0.4376315957672742
20,0.4418340447022743
21,0.44135820587476093
22,0.4434270332737973
23,0.44343078369789934
24,0.43778614208262456
25,0.4356929882712986
26,0.44296246413346174
27,0.4427981457180447
28,0.43799300033054994
29,0.4357144602862271
30,0.43859989977431024
31,0.4355767662580623
32,0.43556455298031077
33,0.43716876892816453
34,0.43810601406786814
35,0.44099755822158443
36,0.44776443740467964
37,0.4370278830528259
38,0.434553512862966
39,0.44214973107362404
40,0.44402939140022574
41,0.4437269368924593
42,0.4405669807434082
43,0.4430668980366475
44,0.43941787197165294
45,0.4328276899125841
46,0.43850773609859844
47,0.4398513674054827
48,0.44189983450848125
49,0.44063335390651925
50,0.4417169923924688
51,0.43292823936000013
52,0.4308327809847318
53,0.43749255418777466
54,0.43909579171074764
55,0.44120224952697756
56,0.44188257029799166
57,0.43024235343933104
58,0.43596446118112336
59,0.43189260943182584
60,0.4330031813236705
61,0.43863727671759467
62,0.42827323358709163
63,0.4378365576708758
64,0.43299318745451154
65,0.43080729154440073
66,0.4443783614214729
67,0.4370767566680908
68,0.4438003057363082
69,0.4414372922976812
70,0.43416954182563944
71,0.43179637058921483
72,0.43741903601752385
73,0.4369815317067233
74,0.43997851859691534
75,0.42939465045928954
76,0.4384685020911984
77,0.4359517514705658
78,0.42374164752471144
79,0.4356199598312378
80,0.43906933629834977
81,0.43790523290634153
82,0.4421225621359689
83,0.4417653891619514
84,0.4477493485537442
85,0.42496791660785677
86,0.4368070946970294
87,0.4310355396270752
88,0.4337807221248232
89,0.4238393429347447
90,0.4186947541766696
91,0.42672181386214036
92,0.43176063041687013
93,0.43229959150155384
94,0.4231234307911085
95,0.4337688463384455
96,0.4391838241758801
97,0.41435343551635745
98,0.4299618244171143
99,0.42850770314534503
100,0.42138233998242547
101,0.43374681860208514
102,0.4258557809193929
103,0.4243945418085371
104,0.41062739867430464
105,0.42045314848423004
106,0.39709670110182327
107,0.4161751763820648
108,0.4087931863466899
109,0.4004613618552685
110,0.4153036083493914
111,0.4117767226696014
112,0.4004961504936218
113,0.4147302868962288
114,0.4168276536464691
115,0.4040533135831356
116,0.4352311778068543
