position,errors,total,error_rate,avg_entropy
0,0,4982,0.0,0.43108129107128995
1,0,4982,0.0,0.42854753104930227
2,0,4982,0.0,0.4264874917850203
3,0,4982,0.0,0.4246514916108919
4,0,4982,0.0,0.426070269895624
5,0,4982,0.0,0.42808719514747645
6,0,4982,0.0,0.42798690737753403
7,0,4982,0.0,0.42697717360060455
8,0,4982,0.0,0.42674451767321525
9,0,4982,0.0,0.4258812938838156
10,0,4982,0.0,0.42659413291717907
11,0,4982,0.0,0.42687846220721687
12,0,4982,0.0,0.4254195545570097
13,2,4982,0.0004014452027298274,0.4284003128229208
14,2,4982,0.0004014452027298274,0.4284995035300146
15,0,4982,0.0,0.4277824395179557
16,1,4982,0.0002007226013649137,0.426229217136447
17,2,4982,0.0004014452027298274,0.42760996303970866
18,1,4982,0.0002007226013649137,0.42827704372964964
19,1,4982,0.0002007226013649137,0.42620344369084134
20,4,4982,0.0008028904054596548,0.4266179902505224
21,3,4982,0.0006021678040947411,0.4278203807038411
22,4,4982,0.0008028904054596548,0.42757157396954354
23,2,4982,0.0004014452027298274,0.42849599923273013
24,2,4982,0.0004014452027298274,0.42811967755526914
25,2,4982,0.0004014452027298274,0.42749825746287595
26,2,4982,0.0004014452027298274,0.42871171834836375
27,1,4982,0.0002007226013649137,0.4276434543954948
28,3,4982,0.0006021678040947411,0.427274799858983
29,3,4982,0.0006021678040947411,0.4289299744719341
30,3,4982,0.0006021678040947411,0.42799620073705924
31,2,4982,0.0004014452027298274,0.4265408282572368
32,5,4982,0.0010036130068245685,0.4286336811287056
33,2,4982,0.0004014452027298274,0.42738131596136647
34,3,4982,0.0006021678040947411,0.4271330317367947
35,4,4982,0.0008028904054596548,0.42907585697760786
36,4,4982,0.0008028904054596548,0.42907996461339765
37,3,4982,0.0006021678040947411,0.4286618509334716
38,4,4982,0.0008028904054596548,0.4290003622812901
39,4,4982,0.0008028904054596548,0.42779571414950956
40,4,4982,0.0008028904054596548,0.42823015984906004
41,3,4982,0.0006021678040947411,0.4287283039808465
42,1,4982,0.0002007226013649137,0.42811376750110286
43,2,4982,0.0004014452027298274,0.4285389367881332
44,4,4982,0.0008028904054596548,0.4285222620896573
45,1,4982,0.0002007226013649137,0.428794966715256
46,5,4982,0.0010036130068245685,0.42887536570017043
47,2,4982,0.0004014452027298274,0.4293542128641028
48,3,4982,0.0006021678040947411,0.4284863055637686
49,4,4982,0.0008028904054596548,0.4281625715676966
50,4,4982,0.0008028904054596548,0.42945932170704443
51,1,4982,0.0002007226013649137,0.42814419911789253
52,3,4982,0.0006021678040947411,0.4291997870579152
53,2,4982,0.0004014452027298274,0.4288224407057837
54,4,4982,0.0008028904054596548,0.42851109528747344
55,4,4982,0.0008028904054596548,0.4278051020665037
56,4,4982,0.0008028904054596548,0.4291179001941493
57,2,4982,0.0004014452027298274,0.4281661647993702
58,3,4982,0.0006021678040947411,0.4275006309887435
59,3,4982,0.0006021678040947411,0.4292718364215194
60,1,4982,0.0002007226013649137,0.4283544652041351
61,4,4982,0.0008028904054596548,0.42861157026409574
62,6,4982,0.0012043356081894822,0.4299585447164005
63,3,4982,0.0006021678040947411,0.4286433569772901
64,5,4982,0.0010036130068245685,0.42910241539915706
65,6,4982,0.0012043356081894822,0.4299037869449889
66,7,4982,0.0014050582095543958,0.42884864094313824
67,5,4982,0.0010036130068245685,0.4281728709739454
68,5,4982,0.0010036130068245685,0.429343081840259
69,7,4982,0.0014050582095543958,0.427908959331545
70,5,4982,0.0010036130068245685,0.42900164347607084
71,7,4982,0.0014050582095543958,0.4286733678321865
72,5,4982,0.0010036130068245685,0.4286592959436438
73,5,4982,0.0010036130068245685,0.42848057264857675
74,8,4982,0.0016057808109193096,0.4293231640784246
75,6,4982,0.0012043356081894822,0.4279565473353705
76,6,4982,0.0012043356081894822,0.42780994311938175
77,8,4982,0.0016057808109193096,0.4278872463716077
78,8,4982,0.0016057808109193096,0.42803320073306156
79,8,4982,0.0016057808109193096,0.42806901341578607
80,7,4982,0.0014050582095543958,0.42866118492753763
81,7,4982,0.0014050582095543958,0.42790181765542934
82,6,4982,0.0012043356081894822,0.427734596962098
83,8,4982,0.0016057808109193096,0.4279102695868801
84,7,4982,0.0014050582095543958,0.42731011538967845
85,7,4982,0.0014050582095543958,0.4270341110930583
86,7,4982,0.0014050582095543958,0.4284351942698097
87,8,4982,0.0016057808109193096,0.4274542342164056
88,5,4982,0.0010036130068245685,0.4282292990811806
89,7,4982,0.0014050582095543958,0.42822459655945105
90,5,4982,0.0010036130068245685,0.42761516103252545
91,7,4982,0.0014050582095543958,0.4268653859567183
92,6,4982,0.0012043356081894822,0.42899269731778883
93,4,4982,0.0008028904054596548,0.4281574383599363
94,4,4982,0.0008028904054596548,0.4282317070274744
95,7,4982,0.0014050582095543958,0.42759030227056233
96,4,4982,0.0008028904054596548,0.4273628387188921
97,6,4982,0.0012043356081894822,0.4264592981180576
98,6,4982,0.0012043356081894822,0.42885816710414487
99,7,4982,0.0014050582095543958,0.4287205291399751
100,7,4982,0.0014050582095543958,0.42798059228216967
101,6,4982,0.0012043356081894822,0.42872582038618484
102,5,4982,0.0010036130068245685,0.4279096078102199
103,3,4982,0.0006021678040947411,0.4277474898164505
104,6,4982,0.0012043356081894822,0.429078923266894
105,5,4982,0.0010036130068245685,0.4277199191089521
106,8,4982,0.0016057808109193096,0.42809982002618946
107,7,4982,0.0014050582095543958,0.4279028476780076
108,6,4982,0.0012043356081894822,0.4282912966275206
109,6,4982,0.0012043356081894822,0.4275568741205848
110,5,4982,0.0010036130068245685,0.4278539923815687
111,5,4982,0.0010036130068245685,0.42798765849535936
112,5,4982,0.0010036130068245685,0.42766653068306837
113,6,4982,0.0012043356081894822,0.42424272505670413
114,5,4982,0.0010036130068245685,0.425298346902701
115,2,4982,0.0004014452027298274,0.4293380566614309
116,2,4982,0.0004014452027298274,0.42594209154271445
