cluster_size,total,failed,failure_rate_pct
1,6,6,100.0
2,5,4,80.0
3,3,1,33.33333333333333
4,9,4,44.44444444444444
5,12,2,16.666666666666664
6,8,1,12.5
7,10,3,30.0
8,8,0,0.0
9,10,1,10.0
10,10,2,20.0
11,9,1,11.11111111111111
12,9,1,11.11111111111111
13,6,0,0.0
14,9,1,11.11111111111111
15,8,0,0.0
16,4860,6,0.12345679012345678
